feedback,latent_agent,subject,latent_prob,mine_prob_win_left,mine_prob_win_right,latent_guess,block_num,trial_num,condition,subj_choice
1,0,24019,0.3,0.7,0.3,1,2,38,3,1
0,1,24019,0.3,0.7,0.3,0,2,39,3,1
1,0,24019,0.3,0.7,0.3,1,2,40,3,1
0,1,24019,0.3,0.7,0.3,0,2,41,3,1
0,0,24019,0.3,0.7,0.3,0,2,42,3,1
1,0,24019,0.3,0.7,0.3,1,2,43,3,1
1,0,24019,0.3,0.7,0.3,1,2,44,3,1
0,0,24019,0.3,0.7,0.3,0,2,45,3,1
1,1,24019,0.3,0.7,0.3,1,2,46,3,1
1,0,24019,0.3,0.7,0.3,1,2,47,3,1
1,1,24019,0.3,0.7,0.3,1,2,48,3,1
1,0,24019,0.3,0.7,0.3,1,2,49,3,1
0,1,24019,0.3,0.7,0.3,0,2,50,3,1
1,1,24019,0.3,0.3,0.7,1,3,1,2,1
0,0,24019,0.3,0.3,0.7,0,3,2,2,1
0,0,24019,0.3,0.3,0.7,0,3,3,2,1
1,1,24019,0.3,0.3,0.7,1,3,4,2,1
1,0,24019,0.3,0.3,0.7,1,3,5,2,1
0,0,24019,0.3,0.3,0.7,0,3,6,2,1
0,0,24019,0.3,0.3,0.7,0,3,7,2,1
0,0,24019,0.3,0.3,0.7,0,3,8,2,1
1,1,24019,0.3,0.3,0.7,1,3,9,2,1
1,1,24019,0.3,0.3,0.7,1,3,10,2,1
0,0,24019,0.3,0.3,0.7,0,3,11,2,1
0,0,24019,0.3,0.3,0.7,0,3,12,2,1
1,1,24019,0.3,0.3,0.7,1,3,13,2,1
0,0,24019,0.3,0.3,0.7,0,3,14,2,1
1,1,24019,0.3,0.3,0.7,1,3,15,2,1
1,1,24019,0.3,0.3,0.7,1,3,16,2,1
0,0,24019,0.3,0.3,0.7,0,3,17,2,1
0,0,24019,0.3,0.3,0.7,0,3,18,2,1
1,1,24019,0.3,0.3,0.7,1,3,19,2,1
1,0,24019,0.3,0.3,0.7,1,3,20,2,1
1,1,24019,0.3,0.3,0.7,1,3,21,2,1
0,0,24019,0.3,0.3,0.7,0,3,22,2,1
0,0,24019,0.3,0.3,0.7,0,3,23,2,1
0,0,24019,0.3,0.3,0.7,0,3,24,2,1
0,0,24019,0.3,0.3,0.7,0,3,25,2,1
0,0,24019,0.3,0.3,0.7,0,3,26,2,1
0,0,24019,0.3,0.3,0.7,0,3,27,2,1
0,0,24019,0.3,0.3,0.7,0,3,28,2,1
0,0,24019,0.3,0.3,0.7,0,3,29,2,1
1,0,24019,0.3,0.3,0.7,1,3,30,2,1
1,1,24019,0.3,0.3,0.7,1,3,31,2,1
0,0,24019,0.3,0.3,0.7,0,3,32,2,1
0,0,24019,0.3,0.3,0.7,0,3,33,2,1
0,0,24019,0.3,0.3,0.7,0,3,34,2,1
1,1,24019,0.3,0.3,0.7,1,3,35,2,1
0,0,24019,0.3,0.3,0.7,0,3,36,2,1
0,0,24019,0.3,0.3,0.7,0,3,37,2,1
1,1,24019,0.3,0.3,0.7,1,3,38,2,1
0,0,24019,0.3,0.3,0.7,0,3,39,2,1
1,1,24019,0.3,0.3,0.7,1,3,40,2,1
1,1,24019,0.3,0.3,0.7,0,3,41,2,1
0,0,24019,0.3,0.3,0.7,0,3,42,2,1
1,1,24019,0.3,0.3,0.7,1,3,43,2,1
1,0,24019,0.3,0.3,0.7,1,3,44,2,1
0,0,24019,0.3,0.3,0.7,0,3,45,2,1
1,0,24019,0.3,0.3,0.7,1,3,46,2,1
1,0,24019,0.3,0.3,0.7,1,3,47,2,1
1,0,24019,0.3,0.3,0.7,1,3,48,2,1
1,0,24019,0.3,0.3,0.7,1,3,49,2,1
0,0,24019,0.3,0.3,0.7,0,3,50,2,1
1,0,27129,0.3,0.3,0.7,0,1,1,2,1
0,0,27129,0.3,0.3,0.7,0,1,2,2,1
0,0,27129,0.3,0.3,0.7,0,1,3,2,1
1,1,27129,0.3,0.3,0.7,0,1,4,2,2
1,0,27129,0.3,0.3,0.7,1,1,5,2,2
1,0,27129,0.3,0.3,0.7,1,1,6,2,2
1,0,27129,0.3,0.3,0.7,0,1,7,2,2
1,0,27129,0.3,0.3,0.7,0,1,8,2,2
1,0,27129,0.3,0.3,0.7,1,1,9,2,2
1,0,27129,0.3,0.3,0.7,0,1,10,2,2
0,0,27129,0.3,0.3,0.7,0,1,11,2,2
1,1,27129,0.3,0.3,0.7,1,1,12,2,2
1,0,27129,0.3,0.3,0.7,0,1,13,2,2
1,0,27129,0.3,0.3,0.7,0,1,14,2,2
1,1,27129,0.3,0.3,0.7,1,1,15,2,2
1,0,27129,0.3,0.3,0.7,0,1,16,2,2
1,0,27129,0.3,0.3,0.7,0,1,17,2,2
0,0,27129,0.3,0.3,0.7,0,1,18,2,2
1,0,27129,0.3,0.3,0.7,0,1,19,2,2
1,1,27129,0.3,0.3,0.7,1,1,20,2,2
1,0,27129,0.3,0.3,0.7,0,1,21,2,2
